nim	onic 105; bg	52; 150MPa; 1098K; BG;
150	.	
109	8	
3		
377	16	
	1.16E+07	2.91E-02
	1.16E+07	2.92E-02
	1.16E+07	2.95E-02
	1.16E+07	2.96E-02
	1.16E+07	2.95E-02
	1.17E+07	3.00E-02
	1.17E+07	2.96E-02
	1.17E+07	2.98E-02
	1.17E+07	3.01E-02
	1.17E+07	2.98E-02
	1.17E+07	3.01E-02
	1.18E+07	3.01E-02
	1.18E+07	3.02E-02
	1.18E+07	3.05E-02
	1.18E+07	3.04E-02
	1.18E+07	3.04E-02
	1.18E+07	3.06E-02
	1.19E+07	3.07E-02
	1.19E+07	3.08E-02
	1.19E+07	3.11E-02
	1.19E+07	3.09E-02
	1.19E+07	3.10E-02
	1.19E+07	3.10E-02
	1.20E+07	3.13E-02
	1.20E+07	3.13E-02
	1.20E+07	3.13E-02
	1.20E+07	3.15E-02
	1.20E+07	3.16E-02
	1.20E+07	3.17E-02
	1.21E+07	3.18E-02
	1.21E+07	3.20E-02
	1.21E+07	3.20E-02
	1.21E+07	3.21E-02
	1.21E+07	3.23E-02
	1.21E+07	3.24E-02
	1.22E+07	3.25E-02
	1.22E+07	3.26E-02
	1.22E+07	3.27E-02
	1.22E+07	3.30E-02
	1.22E+07	3.31E-02
	1.22E+07	3.31E-02
	1.23E+07	3.33E-02
	1.23E+07	3.34E-02
	1.23E+07	3.34E-02
	1.23E+07	3.36E-02
	1.23E+07	3.37E-02
	1.23E+07	3.38E-02
	1.24E+07	3.39E-02
	1.24E+07	3.40E-02
	1.24E+07	3.42E-02
	1.24E+07	3.43E-02
	1.24E+07	3.44E-02
	1.24E+07	3.46E-02
	1.25E+07	3.46E-02
	1.25E+07	3.48E-02
	1.25E+07	3.49E-02
	1.25E+07	3.50E-02
	1.25E+07	3.52E-02
	1.25E+07	3.53E-02
	1.26E+07	3.54E-02
	1.26E+07	3.55E-02
	1.26E+07	3.58E-02
	1.26E+07	3.57E-02
	1.26E+07	3.59E-02
	1.26E+07	3.61E-02
	1.27E+07	3.62E-02
	1.27E+07	3.63E-02
	1.27E+07	3.64E-02
	1.27E+07	3.67E-02
	1.27E+07	3.67E-02
	1.27E+07	3.68E-02
	1.28E+07	3.70E-02
	1.28E+07	3.71E-02
	1.28E+07	3.72E-02
	1.28E+07	3.74E-02
	1.28E+07	3.75E-02
	1.28E+07	3.77E-02
	1.29E+07	3.78E-02
	1.29E+07	3.79E-02
	1.29E+07	3.81E-02
	1.29E+07	3.83E-02
	1.29E+07	3.84E-02
	1.29E+07	3.85E-02
	1.30E+07	3.87E-02
	1.30E+07	3.88E-02
	1.30E+07	3.89E-02
	1.30E+07	3.90E-02
	1.30E+07	3.92E-02
	1.30E+07	3.93E-02
	1.31E+07	3.95E-02
	1.31E+07	3.97E-02
	1.31E+07	3.99E-02
	1.31E+07	4.00E-02
	1.31E+07	4.01E-02
	1.31E+07	4.03E-02
	1.32E+07	4.03E-02
	1.32E+07	4.06E-02
	1.32E+07	4.07E-02
	1.32E+07	4.08E-02
	1.32E+07	4.09E-02
	1.32E+07	4.11E-02
	1.33E+07	4.12E-02
	1.33E+07	4.14E-02
	1.33E+07	4.16E-02
	1.33E+07	4.17E-02
	1.33E+07	4.19E-02
	1.33E+07	4.21E-02
	1.34E+07	4.22E-02
	1.34E+07	4.24E-02
	1.34E+07	4.25E-02
	1.34E+07	4.27E-02
	1.34E+07	4.28E-02
	1.34E+07	4.30E-02
	1.35E+07	4.31E-02
	1.35E+07	4.33E-02
	1.35E+07	4.35E-02
	1.35E+07	4.36E-02
	1.35E+07	4.38E-02
	1.35E+07	4.40E-02
	1.36E+07	4.41E-02
	1.36E+07	4.43E-02
	1.36E+07	4.45E-02
	1.36E+07	4.46E-02
	1.36E+07	4.48E-02
	1.36E+07	4.51E-02
	1.37E+07	4.52E-02
	1.37E+07	4.54E-02
	1.37E+07	4.55E-02
	1.37E+07	4.57E-02
	1.37E+07	4.59E-02
	1.37E+07	4.60E-02
	1.38E+07	4.62E-02
	1.38E+07	4.64E-02
	1.38E+07	4.66E-02
	1.38E+07	4.67E-02
	1.38E+07	4.69E-02
	1.38E+07	4.71E-02
	1.39E+07	4.73E-02
	1.39E+07	4.74E-02
	1.39E+07	4.77E-02
	1.39E+07	4.79E-02
	1.39E+07	4.80E-02
	1.39E+07	4.82E-02
	1.40E+07	4.84E-02
	1.40E+07	4.86E-02
	1.40E+07	4.88E-02
	1.40E+07	4.90E-02
	1.40E+07	4.91E-02
	1.41E+07	4.95E-02
	1.41E+07	4.99E-02
	1.41E+07	5.04E-02
	1.42E+07	5.08E-02
	1.42E+07	5.14E-02
	1.43E+07	5.20E-02
	1.43E+07	5.24E-02
	1.43E+07	5.27E-02
	1.44E+07	5.34E-02
	1.44E+07	5.38E-02
	1.45E+07	5.46E-02
	1.45E+07	5.50E-02
	1.45E+07	5.56E-02
	1.46E+07	5.64E-02
	1.46E+07	5.66E-02
	1.47E+07	5.72E-02
	1.47E+07	5.77E-02
	1.47E+07	5.85E-02
	1.48E+07	5.89E-02
	1.48E+07	5.96E-02
	1.48E+07	6.04E-02
	1.49E+07	6.08E-02
	1.49E+07	6.16E-02
