 nimonic 105;  bg45; 170MPa; 1148K; BG;
 170.
 1148.
  3
400   
    6.10911E+05    1.54211E-02
    6.15322E+05    1.52400E-02
    6.17531E+05    1.53823E-02
    6.21940E+05    1.54230E-02
    6.24149E+05    1.59441E-02
    6.28559E+05    1.61336E-02
    6.30761E+05    1.61570E-02
    6.35164E+05    1.62450E-02
    6.37371E+05    1.63114E-02
    6.41784E+05    1.64791E-02
    6.43990E+05    1.65536E-02
    6.48394E+05    1.67749E-02
    6.50596E+05    1.68434E-02
    6.55006E+05    1.70635E-02
    6.61622E+05    1.73119E-02
    6.63828E+05    1.74100E-02
    6.68238E+05    1.77038E-02
    6.74853E+05    1.78879E-02
    6.77059E+05    1.79705E-02
    6.81474E+05    1.82858E-02
    6.88085E+05    1.85817E-02
    6.90287E+05    1.85564E-02
    6.94697E+05    1.88429E-02
    7.01318E+05    1.91125E-02
    7.03520E+05    1.92552E-02
    7.07931E+05    1.93989E-02
    7.14542E+05    1.97905E-02
    7.16751E+05    1.99169E-02
    7.21159E+05    2.02013E-02
    7.27767E+05    2.05753E-02
    7.29969E+05    2.05690E-02
    7.34383E+05    2.07525E-02
    7.40993E+05    2.12038E-02
    7.43196E+05    2.13321E-02
    7.47602E+05    2.14707E-02
    7.54218E+05    2.18480E-02
    7.56417E+05    2.20339E-02
    7.60831E+05    2.21912E-02
    7.67444E+05    2.25435E-02
    7.68585E+05    2.26052E-02
    7.70792E+05    2.28531E-02
    7.77412E+05    2.31882E-02
    7.79621E+05    2.32607E-02
    7.84024E+05    2.35532E-02
    7.90644E+05    2.36324E-02
    7.92848E+05    2.37758E-02
    7.97259E+05    2.41550E-02
    8.03868E+05    2.45481E-02
    8.06072E+05    2.46136E-02
    8.10483E+05    2.49782E-02
    8.12690E+05    2.51573E-02
    8.17101E+05    2.53997E-02
    8.19303E+05    2.54370E-02
    8.23711E+05    2.57156E-02
    8.25918E+05    2.59301E-02
    8.30336E+05    2.62666E-02
    8.32538E+05    2.64066E-02
    8.36958E+05    2.67039E-02
    8.39166E+05    2.69182E-02
    8.43575E+05    2.71400E-02
    8.45782E+05    2.73326E-02
    8.50193E+05    2.76093E-02
    8.51452E+05    2.77173E-02
    8.54600E+05    2.84018E-02
    8.56806E+05    2.83970E-02
    8.61209E+05    2.84769E-02
    8.63418E+05    2.89299E-02
    8.67825E+05    2.92318E-02
    8.70030E+05    2.94912E-02
    8.74434E+05    2.93922E-02
    8.76640E+05    2.95554E-02
    8.81049E+05    3.02474E-02
    8.83254E+05    3.05409E-02
    8.87665E+05    3.08950E-02
    8.89875E+05    3.10111E-02
    8.94286E+05    3.13515E-02
    8.96488E+05    3.15321E-02
    9.00899E+05    3.18567E-02
    9.03107E+05    3.20859E-02
    9.07518E+05    3.24781E-02
    9.09722E+05    3.25955E-02
    9.14130E+05    3.30232E-02
    9.16332E+05    3.31717E-02
    9.20746E+05    3.35721E-02
    9.22948E+05    3.37769E-02
    9.27355E+05    3.42695E-02
    9.29564E+05    3.43798E-02
    9.33975E+05    3.48137E-02
    9.36183E+05    3.51055E-02
    9.40595E+05    3.54575E-02
    9.42804E+05    3.57025E-02
    9.44430E+05    3.58989E-02
    9.46442E+05    3.60277E-02
    9.50854E+05    3.64182E-02
    9.53056E+05    3.66518E-02
    9.57467E+05    3.70555E-02
    9.59671E+05    3.73973E-02
    9.64081E+05    3.78091E-02
    9.66296E+05    3.79639E-02
    9.70698E+05    3.84899E-02
    9.72904E+05    3.85151E-02
    9.77319E+05    3.89849E-02
    9.79525E+05    3.92876E-02
    9.83932E+05    3.97646E-02
    9.86135E+05    4.00674E-02
    9.90551E+05    4.04840E-02
    9.92754E+05    4.05403E-02
    9.97160E+05    4.12276E-02
    9.99363E+05    4.13966E-02
    1.00378E+06    4.19091E-02
    1.00598E+06    4.20784E-02
    1.01038E+06    4.27676E-02
    1.01259E+06    4.29149E-02
    1.01700E+06    4.34896E-02
    1.01920E+06    4.37924E-02
    1.02361E+06    4.42428E-02
    1.02581E+06    4.45036E-02
    1.03023E+06    4.47630E-02
    1.03243E+06    4.50163E-02
    1.03684E+06    4.55482E-02
    1.03905E+06    4.59455E-02
    1.04346E+06    4.67225E-02
    1.04566E+06    4.70025E-02
    1.05007E+06    4.75750E-02
    1.05227E+06    4.77304E-02
    1.05668E+06    4.82239E-02
    1.05888E+06    4.83978E-02
    1.06329E+06    4.90939E-02
    1.06549E+06    4.92892E-02
    1.06990E+06    4.98513E-02
    1.07211E+06    5.01397E-02
    1.07651E+06    5.08653E-02
    1.07871E+06    5.11871E-02
    1.08313E+06    5.19261E-02
    1.08533E+06    5.21976E-02
    1.08973E+06    5.27393E-02
    1.09194E+06    5.30369E-02
    1.09635E+06    5.37252E-02
    1.09855E+06    5.41527E-02
    1.10295E+06    5.47675E-02
    1.10516E+06    5.51701E-02
    1.10957E+06    5.58917E-02
    1.11177E+06    5.63147E-02
    1.11618E+06    5.68562E-02
    1.11838E+06    5.72511E-02
    1.12279E+06    5.80416E-02
    1.12500E+06    5.83650E-02
    1.12941E+06    5.91069E-02
    1.12974E+06    5.91342E-02
    1.13194E+06    5.94162E-02
    1.13414E+06    6.00100E-02
    1.13855E+06    6.07668E-02
    1.14075E+06    6.11933E-02
    1.14516E+06    6.19380E-02
    1.14736E+06    6.23708E-02
    1.15177E+06    6.30619E-02
    1.15397E+06    6.34930E-02
    1.15839E+06    6.43677E-02
    1.16060E+06    6.47383E-02
    1.16501E+06    6.55401E-02
    1.16722E+06    6.60327E-02
    1.17162E+06    6.69047E-02
    1.17384E+06    6.76600E-02
    1.17824E+06    6.85487E-02
    1.18045E+06    6.90287E-02
    1.18265E+06    6.95577E-02
    1.18485E+06    6.99431E-02
    1.18705E+06    7.03624E-02
    1.18925E+06    7.09735E-02
    1.19146E+06    7.13974E-02
    1.19366E+06    7.18980E-02
    1.19587E+06    7.24158E-02
    1.19807E+06    7.31321E-02
    1.20027E+06    7.36643E-02
    1.20248E+06    7.38182E-02
    1.20468E+06    7.43916E-02
    1.20689E+06    7.49359E-02
    1.20909E+06    7.53794E-02
    1.21130E+06    7.61128E-02
    1.21350E+06    7.64907E-02
    1.21571E+06    7.69423E-02
    1.21792E+06    7.75777E-02
    1.22012E+06    7.82305E-02
    1.22233E+06    7.86480E-02
    1.22453E+06    7.92543E-02
    1.22674E+06    7.97894E-02
    1.22894E+06    8.03884E-02
    1.23114E+06    8.09969E-02
    1.23335E+06    8.15842E-02
    1.23555E+06    8.23539E-02
    1.23776E+06    8.28485E-02
    1.23997E+06    8.35414E-02
    1.24218E+06    8.43935E-02
    1.24438E+06    8.47802E-02
    1.24659E+06    8.56841E-02
    1.24879E+06    8.62944E-02
    1.25100E+06    8.68815E-02
    1.25320E+06    8.75445E-02
    1.25540E+06    8.82251E-02
    1.25761E+06    8.89563E-02
    1.25981E+06    8.97745E-02
    1.26201E+06    9.05630E-02
    1.26422E+06    9.13247E-02
    1.26642E+06    9.22208E-02
    1.26863E+06    9.30093E-02
    1.27083E+06    9.40028E-02
    1.27304E+06    9.49147E-02
    1.27525E+06    9.57862E-02
    1.27745E+06    9.68061E-02
    1.27966E+06    9.79214E-02
    1.28186E+06    9.89978E-02
    1.28407E+06    1.00324E-01
    1.28628E+06    1.01663E-01
    1.28848E+06    1.03316E-01
    1.29069E+06    1.05905E-01
